Indicator_1,Indicator_2,Correlation
"Enrolment in secondary general, both sexes (number) (SE.SEC.ENRL.GC)","Enrolment in tertiary education, all programmes, both sexes (number) (SE.TER.ENRL)",0.7976206226221546
Government expenditure per secondary student (US$) (UIS.XUNIT.US.23.FSGOV),Government expenditure per tertiary student (US$) (UIS.XUNIT.US.56.FSGOV),0.7195575491127806
GDP at market prices (current US$) (NY.GDP.MKTP.CD),"Enrolment in tertiary education, all programmes, both sexes (number) (SE.TER.ENRL)",0.6879135839531084
Internet users (per 100 people) (IT.NET.USER.P2),Government expenditure per secondary student (US$) (UIS.XUNIT.US.23.FSGOV),0.5633203187614384
GDP at market prices (current US$) (NY.GDP.MKTP.CD),"Enrolment in secondary general, both sexes (number) (SE.SEC.ENRL.GC)",0.5050078499760235
Government expenditure on secondary education as % of GDP (%) (UIS.XGDP.23.FSGOV),Government expenditure on tertiary education as % of GDP (%) (UIS.XGDP.56.FSGOV),0.4768644930079027
Government expenditure on tertiary education as % of GDP (%) (UIS.XGDP.56.FSGOV),Government expenditure per tertiary student (US$) (UIS.XUNIT.US.56.FSGOV),0.4592734693893168
Internet users (per 100 people) (IT.NET.USER.P2),Government expenditure per tertiary student (US$) (UIS.XUNIT.US.56.FSGOV),0.459208024822861
Government expenditure on secondary education as % of GDP (%) (UIS.XGDP.23.FSGOV),Government expenditure per secondary student (US$) (UIS.XUNIT.US.23.FSGOV),0.37286145496630885
Government expenditure on tertiary education as % of GDP (%) (UIS.XGDP.56.FSGOV),Government expenditure per secondary student (US$) (UIS.XUNIT.US.23.FSGOV),0.350283648176143
Internet users (per 100 people) (IT.NET.USER.P2),Government expenditure on secondary education as % of GDP (%) (UIS.XGDP.23.FSGOV),0.31181426198545176
Government expenditure on secondary education as % of GDP (%) (UIS.XGDP.23.FSGOV),Government expenditure per tertiary student (US$) (UIS.XUNIT.US.56.FSGOV),0.30961464538849004
Internet users (per 100 people) (IT.NET.USER.P2),Government expenditure on tertiary education as % of GDP (%) (UIS.XGDP.56.FSGOV),0.29815528199224534
Internet users (per 100 people) (IT.NET.USER.P2),GDP at market prices (current US$) (NY.GDP.MKTP.CD),0.24870151440341765
GDP at market prices (current US$) (NY.GDP.MKTP.CD),Government expenditure per secondary student (US$) (UIS.XUNIT.US.23.FSGOV),0.22085180300322968
GDP at market prices (current US$) (NY.GDP.MKTP.CD),Government expenditure per tertiary student (US$) (UIS.XUNIT.US.56.FSGOV),0.12089118432314568
GDP at market prices (current US$) (NY.GDP.MKTP.CD),Government expenditure on secondary education as % of GDP (%) (UIS.XGDP.23.FSGOV),0.09501500280286751
GDP at market prices (current US$) (NY.GDP.MKTP.CD),Government expenditure on tertiary education as % of GDP (%) (UIS.XGDP.56.FSGOV),0.08096623795347505
"Enrolment in secondary general, both sexes (number) (SE.SEC.ENRL.GC)",Government expenditure per tertiary student (US$) (UIS.XUNIT.US.56.FSGOV),-0.0336391932928246
"Enrolment in tertiary education, all programmes, both sexes (number) (SE.TER.ENRL)",Government expenditure on tertiary education as % of GDP (%) (UIS.XGDP.56.FSGOV),0.03004232919534616
Internet users (per 100 people) (IT.NET.USER.P2),"Enrolment in secondary general, both sexes (number) (SE.SEC.ENRL.GC)",-0.02889206788920945
"Enrolment in tertiary education, all programmes, both sexes (number) (SE.TER.ENRL)",Government expenditure per tertiary student (US$) (UIS.XUNIT.US.56.FSGOV),-0.02498562698359742
"Enrolment in secondary general, both sexes (number) (SE.SEC.ENRL.GC)",Government expenditure on tertiary education as % of GDP (%) (UIS.XGDP.56.FSGOV),-0.022262779015243858
"Enrolment in secondary general, both sexes (number) (SE.SEC.ENRL.GC)",Government expenditure per secondary student (US$) (UIS.XUNIT.US.23.FSGOV),-0.016173705983540034
Internet users (per 100 people) (IT.NET.USER.P2),"Enrolment in tertiary education, all programmes, both sexes (number) (SE.TER.ENRL)",0.015308396297032957
"Enrolment in tertiary education, all programmes, both sexes (number) (SE.TER.ENRL)",Government expenditure on secondary education as % of GDP (%) (UIS.XGDP.23.FSGOV),-0.011704025427600974
"Enrolment in secondary general, both sexes (number) (SE.SEC.ENRL.GC)",Government expenditure on secondary education as % of GDP (%) (UIS.XGDP.23.FSGOV),-0.005580752428292293
"Enrolment in tertiary education, all programmes, both sexes (number) (SE.TER.ENRL)",Government expenditure per secondary student (US$) (UIS.XUNIT.US.23.FSGOV),0.002502707049984523
