Indicator_1,Indicator_2,Correlation,Indicator_1_Description,Indicator_2_Description
SE.SEC.ENRL.GC,SE.TER.ENRL,0.9043682654123191,"Enrolment in secondary general, both sexes (number)","Enrolment in tertiary education, all programmes, both sexes (number)"
UIS.XUNIT.US.23.FSGOV,UIS.XUNIT.US.56.FSGOV,0.8103052041964502,Government expenditure per secondary student (US$),Government expenditure per tertiary student (US$)
IT.NET.USER.P2,UIS.XUNIT.US.23.FSGOV,0.7714114570823427,Internet users (per 100 people),Government expenditure per secondary student (US$)
NY.GDP.MKTP.CD,SE.TER.ENRL,0.720189783231311,GDP (current US$),"Enrolment in tertiary education, all programmes, both sexes (number)"
IT.NET.USER.P2,UIS.XUNIT.US.56.FSGOV,0.6229305584084828,Internet users (per 100 people),Government expenditure per tertiary student (US$)
NY.GDP.MKTP.CD,SE.SEC.ENRL.GC,0.5074288218922755,GDP (current US$),"Enrolment in secondary general, both sexes (number)"
UIS.XGDP.56.FSGOV,UIS.XUNIT.US.56.FSGOV,0.5038173870163374,Government expenditure on tertiary education as % of GDP (%),Government expenditure per tertiary student (US$)
UIS.XGDP.23.FSGOV,UIS.XGDP.56.FSGOV,0.4732523649100623,Government expenditure on secondary education as % of GDP (%),Government expenditure on tertiary education as % of GDP (%)
UIS.XGDP.56.FSGOV,UIS.XUNIT.US.23.FSGOV,0.43080021527876344,Government expenditure on tertiary education as % of GDP (%),Government expenditure per secondary student (US$)
IT.NET.USER.P2,UIS.XGDP.56.FSGOV,0.4073022323293157,Internet users (per 100 people),Government expenditure on tertiary education as % of GDP (%)
IT.NET.USER.P2,UIS.XGDP.23.FSGOV,0.32483094205716884,Internet users (per 100 people),Government expenditure on secondary education as % of GDP (%)
UIS.XGDP.23.FSGOV,UIS.XUNIT.US.23.FSGOV,0.31851667124857436,Government expenditure on secondary education as % of GDP (%),Government expenditure per secondary student (US$)
NY.GDP.MKTP.CD,UIS.XUNIT.US.23.FSGOV,0.2770489428189721,GDP (current US$),Government expenditure per secondary student (US$)
UIS.XGDP.23.FSGOV,UIS.XUNIT.US.56.FSGOV,0.24332320261396548,Government expenditure on secondary education as % of GDP (%),Government expenditure per tertiary student (US$)
IT.NET.USER.P2,NY.GDP.MKTP.CD,0.2045815499166282,Internet users (per 100 people),GDP (current US$)
NY.GDP.MKTP.CD,UIS.XUNIT.US.56.FSGOV,0.16123601632182288,GDP (current US$),Government expenditure per tertiary student (US$)
NY.GDP.MKTP.CD,UIS.XGDP.56.FSGOV,0.10273245357055501,GDP (current US$),Government expenditure on tertiary education as % of GDP (%)
SE.SEC.ENRL.GC,UIS.XUNIT.US.56.FSGOV,-0.09229143894116715,"Enrolment in secondary general, both sexes (number)",Government expenditure per tertiary student (US$)
NY.GDP.MKTP.CD,UIS.XGDP.23.FSGOV,0.08858832376791757,GDP (current US$),Government expenditure on secondary education as % of GDP (%)
SE.TER.ENRL,UIS.XGDP.56.FSGOV,0.06282753803784315,"Enrolment in tertiary education, all programmes, both sexes (number)",Government expenditure on tertiary education as % of GDP (%)
IT.NET.USER.P2,SE.SEC.ENRL.GC,-0.046432651767762324,Internet users (per 100 people),"Enrolment in secondary general, both sexes (number)"
SE.TER.ENRL,UIS.XUNIT.US.56.FSGOV,-0.045345938896720395,"Enrolment in tertiary education, all programmes, both sexes (number)",Government expenditure per tertiary student (US$)
SE.SEC.ENRL.GC,UIS.XGDP.56.FSGOV,-0.0423556149837162,"Enrolment in secondary general, both sexes (number)",Government expenditure on tertiary education as % of GDP (%)
SE.SEC.ENRL.GC,UIS.XUNIT.US.23.FSGOV,-0.03246452964510825,"Enrolment in secondary general, both sexes (number)",Government expenditure per secondary student (US$)
SE.SEC.ENRL.GC,UIS.XGDP.23.FSGOV,-0.008703086031343503,"Enrolment in secondary general, both sexes (number)",Government expenditure on secondary education as % of GDP (%)
SE.TER.ENRL,UIS.XUNIT.US.23.FSGOV,0.0037379513692215307,"Enrolment in tertiary education, all programmes, both sexes (number)",Government expenditure per secondary student (US$)
SE.TER.ENRL,UIS.XGDP.23.FSGOV,-0.002978708843867821,"Enrolment in tertiary education, all programmes, both sexes (number)",Government expenditure on secondary education as % of GDP (%)
IT.NET.USER.P2,SE.TER.ENRL,-0.0005024622578815515,Internet users (per 100 people),"Enrolment in tertiary education, all programmes, both sexes (number)"
